country_iso3,indicator,year,value,unit,source,subcategory
USA,mineraux_reserves,2024,20000.0,thousand metric dry tons,MCS USGS,bauxite
AUS,mineraux_production,2023,104000.0,thousand metric dry tons,MCS USGS,bauxite
AUS,mineraux_production,2024,100000.0,thousand metric dry tons,MCS USGS,bauxite
AUS,mineraux_reserves,2024,3500000.0,thousand metric dry tons,MCS USGS,bauxite
BRA,mineraux_production,2023,32000.0,thousand metric dry tons,MCS USGS,bauxite
BRA,mineraux_production,2024,33000.0,thousand metric dry tons,MCS USGS,bauxite
BRA,mineraux_reserves,2024,2700000.0,thousand metric dry tons,MCS USGS,bauxite
CHN,mineraux_production,2023,91000.0,thousand metric dry tons,MCS USGS,bauxite
CHN,mineraux_production,2024,93000.0,thousand metric dry tons,MCS USGS,bauxite
CHN,mineraux_reserves,2024,680000.0,thousand metric dry tons,MCS USGS,bauxite
GRC,mineraux_production,2023,1200.0,thousand metric dry tons,MCS USGS,bauxite
GRC,mineraux_production,2024,1200.0,thousand metric dry tons,MCS USGS,bauxite
GIN,mineraux_production,2023,123000.0,thousand metric dry tons,MCS USGS,bauxite
GIN,mineraux_production,2024,130000.0,thousand metric dry tons,MCS USGS,bauxite
GIN,mineraux_reserves,2024,7400000.0,thousand metric dry tons,MCS USGS,bauxite
IND,mineraux_production,2023,23400.0,thousand metric dry tons,MCS USGS,bauxite
IND,mineraux_production,2024,25000.0,thousand metric dry tons,MCS USGS,bauxite
IND,mineraux_reserves,2024,650000.0,thousand metric dry tons,MCS USGS,bauxite
IDN,mineraux_production,2023,30000.0,thousand metric dry tons,MCS USGS,bauxite
IDN,mineraux_production,2024,32000.0,thousand metric dry tons,MCS USGS,bauxite
IDN,mineraux_reserves,2024,2800000.0,thousand metric dry tons,MCS USGS,bauxite
JAM,mineraux_production,2023,6000.0,thousand metric dry tons,MCS USGS,bauxite
JAM,mineraux_production,2024,6100.0,thousand metric dry tons,MCS USGS,bauxite
JAM,mineraux_reserves,2024,2000000.0,thousand metric dry tons,MCS USGS,bauxite
KAZ,mineraux_production,2023,4560.0,thousand metric dry tons,MCS USGS,bauxite
KAZ,mineraux_production,2024,4900.0,thousand metric dry tons,MCS USGS,bauxite
KAZ,mineraux_reserves,2024,280000.0,thousand metric dry tons,MCS USGS,bauxite
RUS,mineraux_production,2023,5800.0,thousand metric dry tons,MCS USGS,bauxite
RUS,mineraux_production,2024,6300.0,thousand metric dry tons,MCS USGS,bauxite
RUS,mineraux_reserves,2024,480000.0,thousand metric dry tons,MCS USGS,bauxite
SAU,mineraux_production,2023,5400.0,thousand metric dry tons,MCS USGS,bauxite
SAU,mineraux_production,2024,5800.0,thousand metric dry tons,MCS USGS,bauxite
SAU,mineraux_reserves,2024,180000.0,thousand metric dry tons,MCS USGS,bauxite
TUR,mineraux_production,2023,2940.0,thousand metric dry tons,MCS USGS,bauxite
TUR,mineraux_production,2024,3200.0,thousand metric dry tons,MCS USGS,bauxite
TUR,mineraux_reserves,2024,69000.0,thousand metric dry tons,MCS USGS,bauxite
VNM,mineraux_production,2023,3920.0,thousand metric dry tons,MCS USGS,bauxite
VNM,mineraux_production,2024,4200.0,thousand metric dry tons,MCS USGS,bauxite
VNM,mineraux_reserves,2024,3100000.0,thousand metric dry tons,MCS USGS,bauxite
USA,mineraux_reserves,2024,630.0,thousand metric tons,MCS USGS,chrome
BRA,mineraux_production,2023,1420.0,thousand metric tons,MCS USGS,chrome
BRA,mineraux_production,2024,1400.0,thousand metric tons,MCS USGS,chrome
BRA,mineraux_reserves,2024,6600.0,thousand metric tons,MCS USGS,chrome
FIN,mineraux_production,2023,1910.0,thousand metric tons,MCS USGS,chrome
FIN,mineraux_production,2024,1900.0,thousand metric tons,MCS USGS,chrome
FIN,mineraux_reserves,2024,8300.0,thousand metric tons,MCS USGS,chrome
IND,mineraux_production,2023,4100.0,thousand metric tons,MCS USGS,chrome
IND,mineraux_production,2024,4100.0,thousand metric tons,MCS USGS,chrome
IND,mineraux_reserves,2024,79000.0,thousand metric tons,MCS USGS,chrome
KAZ,mineraux_production,2023,6000.0,thousand metric tons,MCS USGS,chrome
KAZ,mineraux_production,2024,6500.0,thousand metric tons,MCS USGS,chrome
KAZ,mineraux_reserves,2024,320000.0,thousand metric tons,MCS USGS,chrome
ZAF,mineraux_production,2023,19700.0,thousand metric tons,MCS USGS,chrome
ZAF,mineraux_production,2024,21000.0,thousand metric tons,MCS USGS,chrome
ZAF,mineraux_reserves,2024,200000.0,thousand metric tons,MCS USGS,chrome
TUR,mineraux_production,2023,8160.0,thousand metric tons,MCS USGS,chrome
TUR,mineraux_production,2024,8000.0,thousand metric tons,MCS USGS,chrome
TUR,mineraux_reserves,2024,27000.0,thousand metric tons,MCS USGS,chrome
ZWE,mineraux_production,2023,1070.0,thousand metric tons,MCS USGS,chrome
ZWE,mineraux_production,2024,1100.0,thousand metric tons,MCS USGS,chrome
ZWE,mineraux_reserves,2024,540000.0,thousand metric tons,MCS USGS,chrome
USA,mineraux_production,2023,500.0,metric tons,MCS USGS,cobalt
USA,mineraux_production,2024,300.0,metric tons,MCS USGS,cobalt
USA,mineraux_reserves,2024,70000.0,metric tons,MCS USGS,cobalt
