country_from,country_to,indicator,year,value,unit,source,subcategory_1,subcategory_2,subcategory_3
ARG,DZA,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,AGO,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ARM,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,AUS,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,AUS,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,AUT,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,AZE,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,BGD,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,BRB,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,BEL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,BEL,representation_diplomatique,2023,1,poste,Lowy Institute,Permanent Mission,,
ARG,BOL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BOL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,BOL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BOL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BOL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BOL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BRA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,BGR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CAN,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CAN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CAN,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CAN,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CHL,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CHN,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHN,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,CHN,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,COL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CRI,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CUB,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CZE,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,DNK,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,DOM,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ECU,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ECU,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,EGY,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,SLV,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ETH,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,FIN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,FRA,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,FRA,representation_diplomatique,2023,1,poste,Lowy Institute,Permanent Mission,,
ARG,DEU,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,DEU,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,DEU,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,DEU,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,GRC,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,GTM,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,GUY,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,HTI,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,HND,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,HUN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,IND,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,IND,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,IDN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,IRN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,IRL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ISR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ITA,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ITA,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ITA,representation_diplomatique,2023,1,poste,Lowy Institute,Permanent Mission,,
ARG,JAM,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,JPN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,KEN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,KOR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,KWT,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,LBN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,MYS,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,MEX,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,MEX,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,MAR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,MOZ,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,NLD,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,NZL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,NIC,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,NGA,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,NOR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,PAK,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,PSE,representation_diplomatique,2023,1,poste,Lowy Institute,Other,,
ARG,PAN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,PRY,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,PRY,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,PRY,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,PER,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,PHL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,POL,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,PRT,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,QAT,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ROU,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,RUS,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,SAU,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,SEN,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,SRB,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,SGP,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ZAF,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ZAF,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ESP,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ESP,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ESP,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,ESP,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ESP,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,ESP,representation_diplomatique,2023,1,poste,Lowy Institute,Consulate,,
ARG,SUR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,SWE,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CHE,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
ARG,CHE,representation_diplomatique,2023,1,poste,Lowy Institute,Permanent Mission,,
ARG,SYR,representation_diplomatique,2023,1,poste,Lowy Institute,Embassy,,
