country_from,country_to,indicator,year,value,unit,source,subcategory_1,subcategory_2,subcategory_3
KEN,BDI,migrants,2000,202,personnes,UNDESA,,,
KEN,BDI,migrants,2005,502,personnes,UNDESA,,,
KEN,BDI,migrants,2010,847,personnes,UNDESA,,,
KEN,BDI,migrants,2015,1032,personnes,UNDESA,,,
KEN,BDI,migrants,2020,1226,personnes,UNDESA,,,
KEN,BDI,migrants,2024,1377,personnes,UNDESA,,,
RWA,BDI,migrants,2000,66415,personnes,UNDESA,,,
RWA,BDI,migrants,2005,61104,personnes,UNDESA,,,
RWA,BDI,migrants,2010,54794,personnes,UNDESA,,,
RWA,BDI,migrants,2015,64363,personnes,UNDESA,,,
RWA,BDI,migrants,2020,76567,personnes,UNDESA,,,
RWA,BDI,migrants,2024,85969,personnes,UNDESA,,,
UGA,BDI,migrants,2000,949,personnes,UNDESA,,,
UGA,BDI,migrants,2005,805,personnes,UNDESA,,,
UGA,BDI,migrants,2010,731,personnes,UNDESA,,,
UGA,BDI,migrants,2015,891,personnes,UNDESA,,,
UGA,BDI,migrants,2020,1058,personnes,UNDESA,,,
UGA,BDI,migrants,2024,1188,personnes,UNDESA,,,
COD,BDI,migrants,2000,37951,personnes,UNDESA,,,
COD,BDI,migrants,2005,99099,personnes,UNDESA,,,
COD,BDI,migrants,2010,147611,personnes,UNDESA,,,
COD,BDI,migrants,2015,175768,personnes,UNDESA,,,
COD,BDI,migrants,2020,199585,personnes,UNDESA,,,
COD,BDI,migrants,2024,224091,personnes,UNDESA,,,
BEL,BDI,migrants,2000,475,personnes,UNDESA,,,
BEL,BDI,migrants,2005,466,personnes,UNDESA,,,
BEL,BDI,migrants,2010,497,personnes,UNDESA,,,
BEL,BDI,migrants,2015,605,personnes,UNDESA,,,
BEL,BDI,migrants,2020,718,personnes,UNDESA,,,
BEL,BDI,migrants,2024,806,personnes,UNDESA,,,
FRA,BDI,migrants,2000,237,personnes,UNDESA,,,
FRA,BDI,migrants,2005,232,personnes,UNDESA,,,
FRA,BDI,migrants,2010,248,personnes,UNDESA,,,
FRA,BDI,migrants,2015,302,personnes,UNDESA,,,
FRA,BDI,migrants,2020,358,personnes,UNDESA,,,
FRA,BDI,migrants,2024,402,personnes,UNDESA,,,
KEN,COM,migrants,2000,85,personnes,UNDESA,,,
KEN,COM,migrants,2005,81,personnes,UNDESA,,,
KEN,COM,migrants,2010,77,personnes,UNDESA,,,
KEN,COM,migrants,2015,76,personnes,UNDESA,,,
KEN,COM,migrants,2020,74,personnes,UNDESA,,,
KEN,COM,migrants,2024,74,personnes,UNDESA,,,
MDG,COM,migrants,2000,10595,personnes,UNDESA,,,
MDG,COM,migrants,2005,10142,personnes,UNDESA,,,
MDG,COM,migrants,2010,9689,personnes,UNDESA,,,
